Character distributions
character,percent occurance
™,1.39211675219e-05
´,1.19876720328e-05
¨,6.96058376096e-06
Æ,5.80048646747e-06
±,0.00108314417302
¥,6.96058376096e-06
µ,6.1871855653e-06
ª,5.0270882718e-06
º,0.000767597709195
‡,0.00236118469136
·,0.00318833406162
‚,0.000771851399271
„,1.85615566959e-05
‰,0.00472082258632
Â,0.00746909307461
Ê,6.1871855653e-06
Á,7.34728285879e-06
Ë,8.9327491599e-05
È,7.34728285879e-06
Í,4.17635025657e-05
Î,8.89407925011e-06
Ï,0.0161218720877
Ì,3.09359278265e-06
Ó,2.20418485764e-05
Ô,0.000103635358219
,7.34728285879e-06
Ò,3.09359278265e-06
Ú,2.59088395547e-05
Û,1.93349548916e-05
Ù,3.32561224135e-05
ı,1.58546630111e-05
ˆ,3.86699097831e-07
˜,3.63497151961e-05
¯,2.16551494785e-05
˘,0.000161640222893
˚,0.000190255956133
¸,0.000120263419425
˝,3.86699097831e-07


German Character Distribution:

0,0.00149665955813
1,0.00174511946726
2,0.00119837655378
3,0.000765046738652
4,0.000408418267507
5,0.000545431779399
6,0.000610332916611
7,0.000418907340188
8,0.000279927127168
9,0.000365806409741
_,0.00819327689775
a,0.0692114905169
b,0.0195765430245
c,0.038565697979
d,0.0467806085891
e,0.139249651074
f,0.0136633283008
g,0.0233578537259
h,0.0578780474853
i,0.0849129767529
j,0.00436279866815
k,0.0136338277838
l,0.040908694589
m,0.0296027853733
n,0.0865289495128
o,0.032665594596
p,0.0114226001493
q,0.000186181040083
r,0.0575469861289
s,0.0623267254361
t,0.0592921055961
u,0.035222306062
v,0.00738692943542
w,0.0177121103555
x,0.000671300651568
y,0.00213977082687
z,0.00848238196352
Ä,1.4422474936e-05
Å,1.31113408509e-06
â,0.00119706541969
ï,3.14672180423e-05
°,5.24453634038e-06
¢,3.27783521273e-06
£,3.21227850848e-05
§,3.93340225528e-06
¶,0.00241248671657
®,6.55567042547e-07
©,6.55567042547e-06
™,1.57336090211e-05
´,2.29448464891e-05
±,1.24557738084e-05
‡,3.14672180423e-05
‚,3.14672180423e-05
„,7.34235087653e-05
Â,6.29344360845e-05
Á,1.50780419786e-05
Ë,2.29448464891e-05
Í,6.55567042547e-07
Ï,0.0125173971104
Ó,6.55567042547e-07
Ô,0.000159958358381
,4.65452600208e-05
Ú,0.000955161180991
˜,2.36004135317e-05
˘,0.001802809367
˚,0.00118067624363


Polish Character Distribution:

0,6.58852279329e-05
1,5.78991396986e-05
2,4.79165294058e-05
3,3.59373970543e-05
4,1.59721764686e-05
5,3.79339191129e-05
6,1.59721764686e-05
7,1.19791323514e-05
8,9.98261029287e-06
9,7.9860882343e-06
_,0.0183081072771
a,0.0844229352468
b,0.0172779018949
c,0.0366820997822
d,0.0297361995404
e,0.0797131397106
f,0.00140155848512
g,0.0110008365427
h,0.0095134276091
i,0.0809949068722
j,0.0261504459232
k,0.0262422859379
l,0.0160720025715
m,0.0357916509441
n,0.0471378858029
o,0.0659231618521
p,0.0260446302541
q,1.19791323514e-05
r,0.0324714347606
s,0.0390439853775
t,0.038480966157
u,0.017894827211
v,0.000219617426443
w,0.0322358451577
x,2.795130882e-05
y,0.0317427042093
z,0.054023890383
Ä,0.0299797752315
Å,0.0387065731496
â,0.00313054658784
ù,0.0002795130882
†,1.19791323514e-05
§,1.99652205857e-06
¶,3.99304411715e-06
©,7.9860882343e-06
™,0.0163475226156
´,3.99304411715e-06
¨,5.98956617572e-06
±,9.98261029287e-06
º,0.00114001409545
‡,0.00634494710215
·,5.98956617572e-06
‚,0.0157765173069
„,0.00131970108072
‰,3.99304411715e-06
Â,1.99652205857e-05
Á,1.19791323514e-05
Ë,0.000369356580836
È,0.00728530899174
Í,3.99304411715e-06
Ï,0.00641881841832
Ô,0.00020963481615
Ú,0.000954337543998
Û,0.000527081823464
˜,9.98261029287e-06
˘,1.99652205857e-06
˚,0.00313054658784
˝,0.00910214406504


